风险等级,金融信息关注程度a4002a,风险和汇报组合选择a4003,股票和基金风险更大a4007,银行储蓄卡数量d1103,活期存款余额d1105,定期存款总额d2104_imp,是否持有基金d5102,是否拥有银行理财产品d7102,去年平均每月伙食费g1001,伙食费中在外就餐花费g1002,去年平均每月购买日常用品支出g1006,去年平均每月本地交通支出g1008_imp,去年每月通信费支出g1009_imp,去年平均每月文化娱乐支出g1010_imp,去年购买衣物支出g1011_imp,去年旅游总支出g1018_imp,去年平均每月水/电/燃料费/物业g1005,asset,total_income_imp,金融信息/银行储蓄卡,金融信息/伙食费,风险汇报选择/旅游
0,2,3,1,3,20000,150000,2,2,5000,2000,30,40,99.99999237,50,900.0001221,0,150,1439698.125,109520,0.666644445,0.39999992,30000
0,5,5,5,1,0,300000,,2,1000,0,0,0,24.99999809,18,0,0,45,3901105,49000,4.99950005,4.999995,50000
0,4,5,1,3,20000,400000,2,2,600,0,5,0,20.00000191,23,0,0,300,2425560,54400,1.33328889,6.666655556,50000
0,4,4,1,2,15000,155000,2,2,1250,300,100,24.99999809,199.9999542,143,500.0000305,0,150,2617210,112984,1.999900005,3.19999744,40000
0,4,5,1,2,,80000,2,2,4000,1000,,205.3437805,199.9999542,199.9999542,749.999939,2999.999023,300,2878372,90361,1.999900005,0.99999975,0.001666667
0,4,5,,3,40000,50000,2,2,2000,1000,2000,0,199.9999542,1000.000061,0,0,1000,5228004.5,100000,1.33328889,1.999999,50000
2,3,3,1,10,30000,300000,1,1,500,0,1000,99.99999237,199.9999542,70.00001526,2999.999023,50000.00781,50,4861439.5,343400,0.299997,5.999988,6.00E-05
4,3,4,1,2,5000,10000,2,1,1000,300,100,500.0000305,99.99999237,50,2999.999023,1000.000061,2000,4288327,150236,1.499925004,2.999997,0.003999999
0,3,5,1,1,6000,300000,2,2,3000,0,300,0,130.0000153,59.99998856,1999.999878,0,1000,3305427,90600,2.99970003,0.999999667,50000
1,3,5,1,0,3000,55000,2,2,1000,200,150,50,59.99998856,18,199.9999542,0,400,96785,42450,30000,2.999997,50000
2,4,3,1,1,55000,50000,1,2,2000,1000,500,0,300.0000305,350.000061,1999.999878,0,1000,1841000,271308,3.99960004,1.999999,30000
2,3,5,1,5,8000,100000,2,1,2000,1000,300,1499.999756,300.0000305,300.0000305,10000.00293,0,600,2296027.25,282000,0.599988,1.49999925,50000
2,3,4,2,5,100000,80000,1,2,5000,2000,500,800.0001221,500.0000305,250.0000305,1999.999878,0,330,2004967.875,224231,0.599988,0.59999988,40000
4,1,1,1,4,200000,100000,2,2,2000,1000,200,80.00000763,99.99999237,80.00000763,1999.999878,4999.999512,200,2156532.5,224000,0.24999375,0.49999975,0.0002
0,4,5,4,9,0,300000,,2,2500,1000,600,120.0000153,140.0000153,18,1999.999878,4999.999512,394,2342639.25,119250,0.444439506,1.59999936,0.001
1,3,5,1,,,200000,2,2,3000,500,300,1999.999878,599.999939,99.99999237,2999.999023,20000.00391,500,439684.9375,191400,30000,0.999999667,0.00025
0,4,5,1,2,0,10000,2,2,1600,300,200,0,149.9999695,18,1999.999878,0,600,16750,59432,1.999900005,2.499998438,50000
0,3,3,1,2,10000,50000,2,2,3000,1000,3000,1000.000061,500.0000305,1000.000061,10000.00293,20000.00391,300,5080000,205000,1.499925004,0.999999667,0.00015
1,3,3,1,3,20000,200000,2,1,1500,500,50,23.09448051,59.99998856,63,99.99999237,1000.000061,180,361455.625,73400,0.999966668,1.999998667,0.003
0,4,5,1,0,1000,50000,2,2,1000,600,80,50,99.99999237,130.0000153,1999.999878,0,200,3010676.5,47500,40000,3.999996,50000
2,3,5,5,4,2000,100000,,1,2250,500,50,50,199.9999542,199.9999542,199.9999542,39999.99609,400,2780765,135000,0.74998125,1.333332741,0.000125
0,3,5,1,3,15000,20000,2,2,1500,500,400,99.99999237,250.0000305,199.9999542,4999.999512,10000.00293,1000,3096094.5,126600,0.999966668,1.999998667,0.0005
0,4,5,1,3,,150000,2,2,2000,350,100,99.99999237,45,18,0,10000.00293,200,5240766,30100,1.33328889,1.999999,0.0005
1,1,5,1,0,4500,200000,2,2,4000,2000,200,500.0000305,50,199.9999542,0,0,400,309797.3438,65200,10000,0.249999938,50000
0,5,3,1,,,250000,2,2,2500,700,110,50,99.99999237,149.9999695,1000.000061,0,340,6252504.5,92400,50000,1.9999992,30000
0,4,4,1,1,0,10000,2,2,1000,0,50,300.0000305,50,0,300.0000305,0,101,14501.45508,33500,3.99960004,3.999996,40000
1,3,3,1,2,30000,800000,1,1,2500,300,180,50,199.9999542,99.99999237,1999.999878,10000.00293,500,6045015,167000,1.499925004,1.19999952,0.0003
2,2,5,1,1,10000,500000,2,1,5500,1500,300,0,0,1000.000061,4000.001953,0,400,3960715.5,124200,1.99980002,0.363636298,50000
2,2,4,,4,0,230000,2,1,4000,2000,0,1250.000122,149.9999695,208,4500.000488,22499.99023,125,4980163.5,160500,0.4999875,0.499999875,0.000177778
